Country,FDI,FDI%,GDPPC%,GGNLB,GGR,GGE,IACP%,NBTTI,ODA,ODAA
AGO,9282167512,9.05,-0.47,-3.3,27.33,30.63,10.29,148.82,13.64,380060000
BEN ,149642289.7,1.8,-0.7,-7.62,17.3,24.92,0.27,112.34,40.67,430140000
BFA,231726245.4,2.22,0.88,-2.37,20.74,23.11,0.91,130.62,55.05,996990000
BDI,49622865.77,1.62,-6.82,-5.31,21.87,27.18,5.55,145.06,35.94,366540000
CPV,96071472.84,6.02,-0.22,-4.56,26.89,31.45,0.13,109.65,286.76,152820000
CMR,693811395.4,2.24,2.9,-4.42,16.48,20.9,2.7,141.07,29.04,663080000
CAF,3000000,0.19,4.09,-0.63,14.32,14.95,4.5,76.81,107.07,486730000
TCD,600219798.8,5.46,-0.46,-4.38,13.96,18.34,6.76,126.22,43.3,606650000
COM,5146839.51,0.91,-1.33,4.26,31.58,27.32,2,145.29,84.61,65780000
COD,1673500100,4.41,3.45,-0.25,16.75,17,0.96,111.12,34.11,2599040000
COG,4276601046,50,0.09,-27.25,25.92,53.17,3.17,144.43,17.78,88800000
CIV,494209964.3,1.49,6.12,-2.82,19.99,22.81,1.24,172.86,28.26,653060000
ETH,2626520130,4.07,7.62,-1.95,15.38,17.33,10.12,136.47,32.38,3233710000
GAB,623890438.8,4.34,0.95,-1.12,21.14,22.25,-0.14,134.52,51.18,98780000
GMB,-1692732.89,-0.19,1.15,-8.12,21.61,29.73,6.81,103.73,54.45,107680000
GHA,3192320531,8.55,1.5,-5.37,19.59,24.96,17.15,166.16,64.12,1768690000
GIN,-53167637.28,-0.6,1.36,-6.91,14.86,21.77,8.15,97.48,44.5,538040000
GNB,18575499.45,1.77,3.45,-2.99,20.4,23.39,1.48,92.4,53.68,95040000
KEN,619724470.5,0.97,3.01,-8.12,19.18,27.3,6.58,102.54,52.17,2464180000
LSO,113220010.4,4.52,1.16,-1,47.21,48.22,4.3,82.12,38.23,83140000
LBR,721033135.4,35.45,-2.42,-4.38,31.68,36.06,7.74,117.41,243.23,1094430000
MDG,517269814.5,5.31,0.38,-3.31,11.83,15.14,7.4,86.94,27.93,676970000
MWI,516092796.5,8.1,-0.15,-6.23,24.72,30.95,21.86,113.68,59.71,1049380000
MLI,275414523.6,2.1,2.9,-1.82,19.12,20.94,1.44,151.99,68.93,1204130000
MOZ,3868353885,26.14,3.56,-7.18,28.05,35.23,2.39,89.72,64.79,1814740000
NER,529263979.5,7.3,0.41,-9.05,23.46,32.51,1.01,170.82,43.62,867990000
NGA,3137318700,0.65,-0.02,-3.47,7.6,11.07,9.01,158.71,13.42,2431540000
RWA,223334652.8,2.7,6.21,-2.76,24.64,27.4,2.51,171.67,93.33,1085330000
STP,27924059.14,8.85,1.54,-6.26,28.01,34.27,5.26,162.86,250.32,48950000
SYC,105893597.2,7.7,2.62,1.87,34.23,32.36,4.04,73.71,72.58,6780000
SLE,252435829.4,5.98,-22.33,-4.55,16.19,20.74,8.97,43,130.76,946330000
TZA,1604581620,3.52,3.7,-3.29,14.52,17.81,5.59,158.54,47.93,2582240000
TGO,257756356.3,6.31,2.72,-8.83,21.83,30.66,1.79,117.75,26.91,199590000
UGA,737652140.2,2.72,1.75,-4.55,14.83,19.38,5.41,117.7,40.56,1628200000
ZMB,1582666667,7.48,-0.15,-9.34,18.77,28.11,10.11,173.15,49.51,797140000
